2,9,1.7
2,11,0.1
2,12,1.7
2,15,3.1
2,16,3.5
2,17,4.2
2,19,0.4
3,9,3.2
3,12,2.2
3,13,2.9
3,18,4.6
3,19,3.5
3,20,0.8
3,21,1.6
3,22,0.5
4,9,0.5
4,10,0.2
4,15,3.3
4,21,4.2
4,22,2.4
5,7,2.7
5,8,0.0
5,14,3.0
5,18,5.0
5,19,3.9
5,20,0.4
5,22,3.0
6,7,0.6
6,8,0.2
6,10,4.2
6,13,1.3
6,14,1.1
6,15,1.6
6,19,2.1
6,20,1.3
7,11,1.5
7,13,2.1
7,14,1.4
7,16,1.2
7,17,3.8
7,22,2.9
8,7,5.0
8,12,3.2
8,13,4.9
8,20,1.7
8,22,1.1
9,7,3.4
9,8,4.6
9,10,0.1
9,12,3.3
9,13,3.8
9,17,1.6
9,18,3.9
9,22,3.3
10,8,2.0
10,12,4.2
10,14,2.2
10,20,0.1
10,21,1.4
10,22,4.5
11,8,2.1
11,10,2.0
11,12,3.0
11,13,5.0
11,15,4.0
11,18,3.6
11,19,3.5
11,21,1.8
12,8,3.3
12,9,0.2
12,11,4.6
12,14,4.6
12,16,3.7
12,17,1.3
12,19,3.9
12,20,1.1
12,21,3.7
13,9,2.2
13,10,2.3
13,11,2.6
13,14,4.4
13,16,1.6
13,17,2.0
13,19,2.7
13,20,0.2
13,21,4.2
14,10,3.8
14,13,4.6
14,14,0.8
14,16,3.4
14,19,3.8
14,20,3.1
14,21,2.2
15,8,1.2
15,10,2.8
15,13,1.1
15,14,4.5
15,18,0.7
15,21,4.6
16,7,4.2
16,9,2.4
16,11,3.2
16,15,4.2
16,16,1.0
16,17,4.9
16,18,4.7
16,20,2.8
16,22,2.2
17,11,3.8
17,12,1.4
17,13,3.8
17,14,1.7
17,16,3.5
17,18,3.3
17,22,4.4
18,9,4.6
18,12,1.9
18,13,4.2
18,16,1.5
18,20,4.8
18,22,0.4
19,9,3.8
19,13,0.3
19,16,0.4
19,18,5.0
19,20,3.6
20,7,2.7
20,11,2.2
20,16,2.2
20,19,4.9
20,20,1.3
20,21,0.1
20,22,1.7
21,8,1.4
21,12,1.0
21,14,1.9
21,17,0.0
22,8,2.3
22,9,3.0
22,11,4.7
22,12,1.6
22,13,4.3
22,15,4.0
22,16,3.7
22,17,1.9
22,21,4.8
22,22,0.7
2,7,0.2
2,8,2.8
2,9,1.9
2,13,4.5
2,14,3.1
2,19,4.4
2,22,1.3
3,9,4.0
3,11,3.4
3,13,2.4
3,15,3.0
3,16,1.5
4,9,3.4
4,12,0.8
4,13,2.7
4,14,2.0
4,17,0.3
4,19,0.3
5,8,1.6
5,9,4.9
5,13,1.7
5,14,3.4
5,15,4.0
5,16,0.5
5,19,2.3
5,21,4.1
6,7,0.8
6,9,1.6
6,14,2.1
6,15,0.6
6,17,4.1
6,19,0.2
6,22,3.5
7,7,2.1
7,11,1.0
7,12,3.7
7,13,2.8
7,14,4.9
7,17,3.1
7,18,0.4
7,20,0.7
7,21,2.7
8,10,3.7
8,12,1.7
8,13,4.2
8,16,4.3
8,17,4.0
9,9,2.6
9,10,2.2
9,12,3.3
9,13,2.3
9,14,2.2
9,17,0.2
9,18,2.2
9,22,4.4
10,12,0.5
10,13,1.4
10,16,2.8
10,18,4.3
10,20,0.9
11,7,2.7
11,9,2.3
11,10,1.6
11,12,3.3
11,16,2.7
11,17,2.1
11,19,4.7
11,22,4.1
12,8,1.7
12,13,3.6
12,14,1.5
12,15,2.7
12,16,0.9
12,21,0.7
13,7,2.7
13,13,4.7
13,17,1.4
13,21,0.7
14,7,4.8
14,9,1.3
14,10,3.6
14,15,3.4
14,17,4.8
14,18,1.0
14,19,0.3
15,7,1.9
15,8,2.6
15,9,1.7
15,10,4.0
15,15,0.3
15,21,3.0
16,11,0.0
16,13,4.2
16,15,2.2
16,16,4.3
16,19,2.6
16,21,2.1
16,22,0.5
17,8,3.7
17,10,2.1
17,11,2.0
17,14,1.6
17,17,3.1
17,18,0.6
18,10,4.8
18,11,4.8
18,13,0.1
18,14,4.8
18,16,0.8
18,17,3.2
18,18,4.7
18,22,4.7
19,10,4.0
19,12,1.5
19,14,3.2
19,21,2.1
20,7,3.1
20,10,4.7
20,14,2.3
20,15,3.2
20,17,1.4
20,19,2.2
20,20,5.0
20,22,2.9
21,8,4.5
21,13,3.8
21,15,0.8
21,17,1.6
21,18,1.7
21,20,4.0
21,21,4.1
22,8,3.1
22,11,3.0
22,12,4.7
22,13,0.5
22,14,1.1
22,15,0.8
22,17,3.2
22,18,0.6
22,19,2.8
22,21,0.1
1,1,3.5
1,1,3.5
1,1,3.5
1,1,3.5
1,1,3.5
1,1,3.5
1,1,4.2
1,10,4.9
1,13,0.2
1,17,1.5
1,18,0.1
2,10,0.0
2,11,4.5
2,15,1.1
2,16,4.8
2,17,3.5
2,19,3.9
2,23,2.5
3,8,0.3
3,9,1.8
3,15,0.7
3,19,1.2
4,7,1.7
4,10,0.6
4,13,0.3
4,14,2.0
4,17,4.8
4,20,4.3
4,22,3.4
5,11,2.2
5,16,2.0
5,18,4.5
5,20,0.6
5,21,2.6
5,22,4.9
6,10,1.4
6,11,4.3
6,15,2.8
6,22,2.9
6,23,4.7
7,14,3.7
7,15,1.2
7,16,4.5
7,20,1.5
8,7,1.5
8,13,0.5
8,18,2.6
8,20,1.9
8,22,0.6
9,7,1.7
9,8,0.3
9,9,4.1
9,14,4.1
9,17,1.0
9,20,0.5
9,21,3.4
10,12,1.3
10,16,3.5
10,17,0.1
10,19,2.8
10,21,3.1
11,10,2.5
11,12,1.3
11,13,1.8
11,17,0.1
11,18,2.8
11,20,3.0
11,22,4.2
11,23,3.0
12,8,0.4
12,9,0.5
12,14,0.4
12,17,3.6
12,19,1.5
12,20,3.4
12,22,3.7
13,8,2.6
13,11,0.9
13,15,2.4
13,17,0.3
13,19,4.5
13,20,1.4
13,22,2.7
13,23,3.5
14,7,2.5
14,13,1.7
14,17,4.7
14,19,1.2
14,23,2.5
15,9,2.1
15,11,4.3
15,13,3.7
15,14,1.3
15,16,2.2
15,22,4.0
16,7,3.4
16,13,4.3
16,14,3.0
16,16,3.0
16,18,3.8
16,19,3.6
16,21,2.3
17,7,3.3
17,9,3.9
17,10,0.3
17,11,4.3
17,13,2.6
17,15,1.8
17,16,1.2
17,17,0.6
17,19,2.9
17,20,3.8
17,22,2.9
17,23,1.3
18,9,4.4
18,10,1.2
18,11,2.6
18,12,3.1
18,13,0.3
18,14,0.9
18,15,0.8
18,17,2.6
18,18,2.9
18,19,2.2
18,21,3.6
18,23,1.2
19,7,0.5
19,9,2.0
